,Consequent,Antecedent,Supp,Conf,Lift
79,Y_L,"('5_T', 'intensive_H', 'N_WA', 'N_P')",0.05,0.77,3.25
82,Y_L,"('5_T', 'intensive_H', 'N_WA')",0.05,0.77,3.24
85,Y_L,"('5_T', 'intensive_H', 'N_P')",0.05,0.74,3.11
87,Y_L,"('5_T', 'intensive_H')",0.05,0.74,3.09
90,Y_L,"('5_T', 'N_WA', 'N_P')",0.05,0.62,2.58
92,Y_L,"('5_T', 'N_WA')",0.05,0.61,2.56
94,Y_L,"('5_T', 'N_P')",0.06,0.57,2.4
95,Y_L,"('5_T',)",0.06,0.57,2.38
128,Y_L,"('low_SL', '4_T', 'insufficient_LE', 'intensive_H', 'N_WA', 'N_P')",0.05,0.88,3.7
134,Y_L,"('low_SL', '4_T', 'insufficient_LE', 'intensive_H', 'N_WA')",0.05,0.88,3.7
140,Y_L,"('low_SL', '4_T', 'insufficient_LE', 'intensive_H', 'N_P')",0.05,0.86,3.6
145,Y_L,"('low_SL', '4_T', 'insufficient_LE', 'intensive_H')",0.05,0.86,3.6
151,Y_L,"('low_SL', '4_T', 'insufficient_LE', 'N_WA', 'N_P')",0.05,0.79,3.31
156,Y_L,"('low_SL', '4_T', 'insufficient_LE', 'N_WA')",0.05,0.79,3.3
161,Y_L,"('low_SL', '4_T', 'insufficient_LE', 'N_P')",0.05,0.76,3.17
165,Y_L,"('low_SL', '4_T', 'insufficient_LE')",0.05,0.75,3.16
171,Y_L,"('low_SL', '4_T', 'intensive_H', 'N_WA', 'N_P')",0.05,0.88,3.7
176,Y_L,"('low_SL', '4_T', 'intensive_H', 'N_WA')",0.05,0.88,3.7
181,Y_L,"('low_SL', '4_T', 'intensive_H', 'N_P')",0.05,0.86,3.6
185,Y_L,"('low_SL', '4_T', 'intensive_H')",0.05,0.86,3.6
190,Y_L,"('low_SL', '4_T', 'N_WA', 'N_P')",0.05,0.79,3.31
194,Y_L,"('low_SL', '4_T', 'N_WA')",0.05,0.79,3.3
198,Y_L,"('low_SL', '4_T', 'N_P')",0.05,0.76,3.17
201,Y_L,"('low_SL', '4_T')",0.05,0.75,3.16
268,Y_L,"('low_SL', 'insufficient_LE', 'intensive_H', 'N_WA', 'N_P')",0.06,0.67,2.83
273,Y_L,"('low_SL', 'insufficient_LE', 'intensive_H', 'N_WA')",0.06,0.67,2.82
278,Y_L,"('low_SL', 'insufficient_LE', 'intensive_H', 'N_P')",0.06,0.64,2.7
282,Y_L,"('low_SL', 'insufficient_LE', 'intensive_H')",0.06,0.64,2.69
287,Y_L,"('low_SL', 'insufficient_LE', 'N_WA', 'N_P')",0.06,0.52,2.17
290,Y_L,"('low_SL', 'insufficient_LE', 'N_WA')",0.06,0.51,2.16
297,Y_L,"('low_SL', 'intensive_H', 'N_WA', 'N_P')",0.06,0.67,2.83
300,Y_L,"('low_SL', 'intensive_H', 'N_WA')",0.06,0.67,2.82
