,Consequent,Antecedent,Supp,Conf,Lift
342,low_SL,"('4_T', 'insufficient_LE', 'N_WA', 'N_P')",0.07,0.93,6.84
350,low_SL,"('4_T', 'insufficient_LE')",0.07,0.93,6.84
345,low_SL,"('4_T', 'insufficient_LE', 'N_WA')",0.07,0.93,6.84
348,low_SL,"('4_T', 'insufficient_LE', 'N_P')",0.07,0.93,6.83
78,low_SL,"('6_NP', 'insufficient_LE')",0.06,0.93,6.78
76,low_SL,"('6_NP', 'insufficient_LE', 'N_P')",0.06,0.93,6.78
434,low_SL,"('insufficient_LE', 'intensive_H', 'N_WA')",0.08,0.9,6.59
430,low_SL,"('insufficient_LE', 'intensive_H', 'N_WA', 'N_P')",0.08,0.9,6.59
441,low_SL,"('insufficient_LE', 'intensive_H')",0.09,0.9,6.55
438,low_SL,"('insufficient_LE', 'intensive_H', 'N_P')",0.09,0.89,6.54
882,2_NP,"('Y_L', 'insufficient_LE', 'medium_SL', '3_T', 'standard_H', 'N_WA')",0.08,1.0,6.28
889,2_NP,"('Y_L', 'insufficient_LE', 'medium_SL', '3_T', 'standard_H', 'N_P')",0.09,1.0,6.28
895,2_NP,"('Y_L', 'insufficient_LE', 'medium_SL', '3_T', 'standard_H')",0.09,1.0,6.28
875,2_NP,"('Y_L', 'insufficient_LE', 'medium_SL', '3_T', 'standard_H', 'N_WA', 'N_P')",0.08,1.0,6.28
1259,2_NP,"('Y_L', 'medium_SL', '3_T', 'standard_H')",0.1,1.0,6.26
1254,2_NP,"('Y_L', 'medium_SL', '3_T', 'standard_H', 'N_P')",0.1,1.0,6.26
902,2_NP,"('Y_L', 'insufficient_LE', 'medium_SL', '3_T', 'N_WA', 'N_P')",0.08,0.99,6.25
1191,2_NP,"('Y_L', 'medium_SL', '3_T', '0_S', 'standard_H', 'N_WA', 'N_P')",0.06,1.0,6.25
919,2_NP,"('Y_L', 'insufficient_LE', 'medium_SL', '3_T')",0.09,0.99,6.25
908,2_NP,"('Y_L', 'insufficient_LE', 'medium_SL', '3_T', 'N_WA')",0.08,0.99,6.25
1211,2_NP,"('Y_L', 'medium_SL', '3_T', '0_S', 'standard_H')",0.06,1.0,6.25
1242,2_NP,"('Y_L', 'medium_SL', '3_T', 'standard_H', 'N_WA', 'N_P')",0.1,1.0,6.25
914,2_NP,"('Y_L', 'insufficient_LE', 'medium_SL', '3_T', 'N_P')",0.09,0.99,6.25
1248,2_NP,"('Y_L', 'medium_SL', '3_T', 'standard_H', 'N_WA')",0.1,1.0,6.25
1205,2_NP,"('Y_L', 'medium_SL', '3_T', '0_S', 'standard_H', 'N_P')",0.06,1.0,6.25
1198,2_NP,"('Y_L', 'medium_SL', '3_T', '0_S', 'standard_H', 'N_WA')",0.06,1.0,6.25
1080,2_NP,"('Y_L', 'insufficient_LE', '3_T', 'standard_H', 'N_WA')",0.08,0.99,6.23
1091,2_NP,"('Y_L', 'insufficient_LE', '3_T', 'standard_H')",0.09,0.99,6.23
1086,2_NP,"('Y_L', 'insufficient_LE', '3_T', 'standard_H', 'N_P')",0.09,0.99,6.23
1074,2_NP,"('Y_L', 'insufficient_LE', '3_T', 'standard_H', 'N_WA', 'N_P')",0.08,0.99,6.23
978,2_NP,"('Y_L', 'insufficient_LE', 'medium_SL', 'standard_H', 'N_WA', 'N_P')",0.08,0.99,6.22
984,2_NP,"('Y_L', 'insufficient_LE', 'medium_SL', 'standard_H', 'N_WA')",0.08,0.99,6.22
990,2_NP,"('Y_L', 'insufficient_LE', 'medium_SL', 'standard_H', 'N_P')",0.09,0.99,6.21
995,2_NP,"('Y_L', 'insufficient_LE', 'medium_SL', 'standard_H')",0.09,0.99,6.21
1419,2_NP,"('Y_L', '3_T', 'standard_H', 'N_P')",0.1,0.99,6.2
1409,2_NP,"('Y_L', '3_T', 'standard_H', 'N_WA', 'N_P')",0.1,0.99,6.19
1366,2_NP,"('Y_L', '3_T', '0_S', 'standard_H', 'N_WA', 'N_P')",0.06,0.99,6.19
1270,2_NP,"('Y_L', 'medium_SL', '3_T', 'N_WA')",0.1,0.98,6.19
1378,2_NP,"('Y_L', '3_T', '0_S', 'standard_H', 'N_P')",0.06,0.99,6.19
1265,2_NP,"('Y_L', 'medium_SL', '3_T', 'N_WA', 'N_P')",0.1,0.98,6.19
1423,2_NP,"('Y_L', '3_T', 'standard_H')",0.1,0.99,6.19
1279,2_NP,"('Y_L', 'medium_SL', '3_T')",0.1,0.99,6.19
1275,2_NP,"('Y_L', 'medium_SL', '3_T', 'N_P')",0.1,0.99,6.19
1414,2_NP,"('Y_L', '3_T', 'standard_H', 'N_WA')",0.1,0.98,6.18
1218,2_NP,"('Y_L', 'medium_SL', '3_T', '0_S', 'N_WA', 'N_P')",0.06,0.98,6.18
1230,2_NP,"('Y_L', 'medium_SL', '3_T', '0_S', 'N_P')",0.06,0.98,6.18
1224,2_NP,"('Y_L', 'medium_SL', '3_T', '0_S', 'N_WA')",0.06,0.98,6.18
