,Time_Spend_Company,Number_Projects,Work_Accident,Promotion_Last_5_Years,Department,Salary,Left,AMHGroup,LEGroup,SLGroup
0,3_T,2_NP,N_WA,N_P,0_D,low_S,Y_L,standard_H,insufficient_LE,medium_SL
1,6_T,5_NP,N_WA,N_P,0_D,medium_S,Y_L,intensive_H,very good_LE,high_SL
2,4_T,7_NP,N_WA,N_P,0_D,medium_S,Y_L,intensive_H,insufficient_LE,low_SL
3,5_T,5_NP,N_WA,N_P,0_D,low_S,Y_L,intensive_H,good_LE,high_SL
4,3_T,2_NP,N_WA,N_P,0_D,low_S,Y_L,standard_H,insufficient_LE,medium_SL
5,3_T,2_NP,N_WA,N_P,0_D,low_S,Y_L,standard_H,insufficient_LE,medium_SL
6,4_T,6_NP,N_WA,N_P,0_D,low_S,Y_L,intensive_H,insufficient_LE,low_SL
7,5_T,5_NP,N_WA,N_P,0_D,low_S,Y_L,intensive_H,very good_LE,high_SL
8,5_T,5_NP,N_WA,N_P,0_D,low_S,Y_L,intensive_H,very good_LE,high_SL
9,3_T,2_NP,N_WA,N_P,0_D,low_S,Y_L,standard_H,insufficient_LE,medium_SL
10,3_T,2_NP,N_WA,N_P,0_D,low_S,Y_L,standard_H,sufficient_LE,medium_SL
11,4_T,6_NP,N_WA,N_P,0_D,low_S,Y_L,intensive_H,insufficient_LE,low_SL
12,5_T,4_NP,N_WA,N_P,0_D,low_S,Y_L,intensive_H,very good_LE,high_SL
13,3_T,2_NP,N_WA,N_P,0_D,low_S,Y_L,standard_H,insufficient_LE,medium_SL
14,3_T,2_NP,N_WA,N_P,0_D,low_S,Y_L,standard_H,insufficient_LE,medium_SL
15,3_T,2_NP,N_WA,N_P,0_D,low_S,Y_L,standard_H,insufficient_LE,medium_SL
16,3_T,2_NP,N_WA,N_P,0_D,low_S,Y_L,standard_H,sufficient_LE,medium_SL
17,6_T,4_NP,N_WA,N_P,0_D,low_S,Y_L,intensive_H,very good_LE,high_SL
18,3_T,2_NP,Y_WA,Y_P,0_D,low_S,Y_L,standard_H,sufficient_LE,medium_SL
19,5_T,5_NP,N_WA,N_P,0_D,low_S,Y_L,intensive_H,good_LE,high_SL
20,4_T,6_NP,N_WA,N_P,0_D,low_S,Y_L,intensive_H,insufficient_LE,low_SL
21,3_T,2_NP,N_WA,N_P,0_D,low_S,Y_L,standard_H,insufficient_LE,medium_SL
22,4_T,6_NP,N_WA,N_P,0_D,low_S,Y_L,intensive_H,insufficient_LE,low_SL
23,3_T,2_NP,N_WA,N_P,0_D,low_S,Y_L,standard_H,sufficient_LE,medium_SL
24,3_T,2_NP,N_WA,N_P,0_D,low_S,Y_L,standard_H,insufficient_LE,medium_SL
25,5_T,5_NP,N_WA,N_P,0_D,low_S,Y_L,intensive_H,very good_LE,high_SL
26,5_T,4_NP,N_WA,N_P,0_D,low_S,Y_L,intensive_H,very good_LE,high_SL
27,3_T,2_NP,N_WA,N_P,0_D,low_S,Y_L,standard_H,insufficient_LE,medium_SL
28,3_T,2_NP,N_WA,N_P,7_D,low_S,Y_L,standard_H,insufficient_LE,medium_SL
29,3_T,2_NP,N_WA,N_P,7_D,low_S,Y_L,standard_H,insufficient_LE,medium_SL
30,4_T,6_NP,N_WA,N_P,7_D,low_S,Y_L,intensive_H,insufficient_LE,low_SL
31,3_T,2_NP,N_WA,N_P,8_D,low_S,Y_L,standard_H,sufficient_LE,medium_SL
32,3_T,2_NP,N_WA,N_P,8_D,low_S,Y_L,standard_H,insufficient_LE,medium_SL
33,3_T,2_NP,N_WA,N_P,8_D,low_S,Y_L,standard_H,sufficient_LE,medium_SL
34,6_T,4_NP,N_WA,N_P,8_D,low_S,Y_L,intensive_H,very good_LE,high_SL
35,4_T,6_NP,N_WA,N_P,1_D,low_S,Y_L,intensive_H,insufficient_LE,low_SL
36,3_T,2_NP,N_WA,N_P,1_D,low_S,Y_L,standard_H,insufficient_LE,medium_SL
37,3_T,2_NP,N_WA,N_P,1_D,low_S,Y_L,standard_H,sufficient_LE,medium_SL
38,4_T,6_NP,N_WA,N_P,1_D,low_S,Y_L,intensive_H,insufficient_LE,low_SL
39,3_T,2_NP,N_WA,N_P,1_D,low_S,Y_L,standard_H,insufficient_LE,medium_SL
40,5_T,5_NP,N_WA,N_P,1_D,low_S,Y_L,intensive_H,very good_LE,high_SL
41,3_T,2_NP,N_WA,N_P,1_D,low_S,Y_L,standard_H,sufficient_LE,medium_SL
42,3_T,2_NP,N_WA,N_P,1_D,low_S,Y_L,standard_H,insufficient_LE,medium_SL
43,4_T,7_NP,N_WA,N_P,1_D,low_S,Y_L,intensive_H,insufficient_LE,low_SL
44,4_T,6_NP,N_WA,N_P,1_D,low_S,Y_L,intensive_H,insufficient_LE,low_SL
45,4_T,3_NP,N_WA,N_P,1_D,low_S,Y_L,standard_H,very good_LE,high_SL
46,3_T,2_NP,N_WA,N_P,2_D,low_S,Y_L,standard_H,insufficient_LE,medium_SL
47,6_T,3_NP,N_WA,N_P,2_D,low_S,Y_L,intensive_H,sufficient_LE,medium_SL
