ITEMSET,SUPPORT
"('2_T', 'N_L')",0.21274751650110008
"('2_T', 'N_L', 'N_P')",0.209147276485099
"('2_T', 'N_P')",0.21268084538969265
"('Y_L', 'N_WA')",0.2268151210080672
"('Y_L', 'N_WA', 'N_P')",0.22581505433695578
"('Y_L', 'N_P')",0.23681578771918127
"('3_NP', 'N_L')",0.2655510367357824
"('3_NP', 'N_L', 'N_WA')",0.21828121874791653
"('3_NP', 'N_L', 'N_WA', 'N_P')",0.2133475565037669
"('3_NP', 'N_L', 'N_P')",0.2592172811520768
"('3_NP', 'N_WA')",0.22301486765784387
"('3_NP', 'N_WA', 'N_P')",0.21808120541369425
"('3_NP', 'N_P')",0.26401760117341155
"('0_D', 'N_L')",0.20841389425961732
"('0_D', 'N_L', 'N_P')",0.2022134808987266
"('0_D', 'N_WA')",0.2368824588305887
"('0_D', 'N_WA', 'N_P')",0.23214880992066136
"('0_D', 'N_P')",0.2693512900860057
"('4_NP', 'N_L')",0.26375091672778184
"('4_NP', 'N_L', 'N_WA')",0.22001466764450964
"('4_NP', 'N_L', 'N_WA', 'N_P')",0.2140809387292486
"('4_NP', 'N_L', 'N_P')",0.2562170811387426
"('4_NP', 'N_WA')",0.24548303220214682
"('4_NP', 'N_WA', 'N_P')",0.23934928995266352
"('4_NP', 'N_P')",0.2832188812587506
"('3_T', '0_S')",0.21368091206080406
"('3_T', '0_S', 'N_P')",0.21154743649576638
"('3_T', 'N_L')",0.32382158810587375
"('3_T', 'N_L', 'N_WA')",0.269084605640376
"('3_T', 'N_L', 'N_WA', 'N_P')",0.2630842056137076
"('3_T', 'N_L', 'N_P')",0.31588772584838987
"('3_T', 'N_WA')",0.3698913260884059
"('3_T', 'N_WA', 'N_P')",0.3630908727248483
"('3_T', 'N_P')",0.42062804186945796
"('1_S', 'N_L')",0.34195613040869394
"('1_S', 'N_L', 'N_WA')",0.2844189612640843
"('1_S', 'N_L', 'N_WA', 'N_P')",0.27548503233548904
"('1_S', 'N_L', 'N_P')",0.33022201480098673
"('1_S', 'N_WA')",0.36729115274351626
"('1_S', 'N_WA', 'N_P')",0.3580905393692913
"('1_S', 'N_P')",0.4176945129675312
"('0_S', 'N_L')",0.34295619707980535
"('0_S', 'N_L', 'N_WA')",0.27995199679978666
"('0_S', 'N_L', 'N_WA', 'N_P')",0.27748516567771186
"('0_S', 'N_L', 'N_P')",0.3394892992866191
"('0_S', 'N_WA')",0.4184278951930129
"('0_S', 'N_WA', 'N_P')",0.4152276818454564
"('0_S', 'N_P')",0.4833655577038469
"('N_L', 'N_WA')",0.6285752383492232
"('N_L', 'N_WA', 'N_P')",0.6133742249483299
"('N_L', 'N_P')",0.7419161277418495
"('N_WA', 'N_P')",0.8391892792852856
