ITEMSET,SUPPORT
"('2_T', 'N_L')",0.21
"('2_T', 'N_L', 'N_P')",0.21
"('2_T', 'N_P')",0.21
"('Y_L', 'N_WA')",0.23
"('Y_L', 'N_WA', 'N_P')",0.23
"('Y_L', 'N_P')",0.24
"('3_NP', 'N_L')",0.27
"('3_NP', 'N_L', 'N_WA')",0.22
"('3_NP', 'N_L', 'N_WA', 'N_P')",0.21
"('3_NP', 'N_L', 'N_P')",0.26
"('3_NP', 'N_WA')",0.22
"('3_NP', 'N_WA', 'N_P')",0.22
"('3_NP', 'N_P')",0.26
"('0_D', 'N_L')",0.21
"('0_D', 'N_L', 'N_P')",0.2
"('0_D', 'N_WA')",0.24
"('0_D', 'N_WA', 'N_P')",0.23
"('0_D', 'N_P')",0.27
"('4_NP', 'N_L')",0.26
"('4_NP', 'N_L', 'N_WA')",0.22
"('4_NP', 'N_L', 'N_WA', 'N_P')",0.21
"('4_NP', 'N_L', 'N_P')",0.26
"('4_NP', 'N_WA')",0.25
"('4_NP', 'N_WA', 'N_P')",0.24
"('4_NP', 'N_P')",0.28
"('3_T', '0_S')",0.21
"('3_T', '0_S', 'N_P')",0.21
"('3_T', 'N_L')",0.32
"('3_T', 'N_L', 'N_WA')",0.27
"('3_T', 'N_L', 'N_WA', 'N_P')",0.26
"('3_T', 'N_L', 'N_P')",0.32
"('3_T', 'N_WA')",0.37
"('3_T', 'N_WA', 'N_P')",0.36
"('3_T', 'N_P')",0.42
"('1_S', 'N_L')",0.34
"('1_S', 'N_L', 'N_WA')",0.28
"('1_S', 'N_L', 'N_WA', 'N_P')",0.28
"('1_S', 'N_L', 'N_P')",0.33
"('1_S', 'N_WA')",0.37
"('1_S', 'N_WA', 'N_P')",0.36
"('1_S', 'N_P')",0.42
"('0_S', 'N_L')",0.34
"('0_S', 'N_L', 'N_WA')",0.28
"('0_S', 'N_L', 'N_WA', 'N_P')",0.28
"('0_S', 'N_L', 'N_P')",0.34
"('0_S', 'N_WA')",0.42
"('0_S', 'N_WA', 'N_P')",0.42
"('0_S', 'N_P')",0.48
"('N_L', 'N_WA')",0.63
"('N_L', 'N_WA', 'N_P')",0.61
"('N_L', 'N_P')",0.74
"('N_WA', 'N_P')",0.84
