ITEMSET,SUPPORT
"('2_T', 'N_L', 'N_P')",0.21
"('Y_L', 'N_WA', 'N_P')",0.23
"('insufficient_LE', 'N_WA', 'N_P')",0.23
"('good_LE', 'N_L', 'N_WA')",0.2
"('good_LE', 'N_L', 'N_P')",0.24
"('good_LE', 'N_WA', 'N_P')",0.21
"('3_NP', 'N_L', 'N_WA', 'N_P')",0.21
"('0_D', 'N_L', 'N_P')",0.2
"('0_D', 'N_WA', 'N_P')",0.23
"('4_NP', 'N_L', 'N_WA', 'N_P')",0.21
"('very good_LE', 'high_SL', 'N_L', 'N_WA', 'N_P')",0.22
"('medium_SL', '3_T', 'N_P')",0.22
"('medium_SL', 'standard_H', 'N_WA', 'N_P')",0.22
"('medium_SL', 'N_L', 'N_WA', 'N_P')",0.22
"('3_T', '0_S', 'N_P')",0.21
"('3_T', 'standard_H', 'N_WA', 'N_P')",0.23
"('3_T', 'N_L', 'N_WA', 'N_P')",0.26
"('1_S', 'high_SL', 'N_P')",0.2
"('1_S', 'intensive_H', 'N_P')",0.21
"('1_S', 'standard_H', 'N_P')",0.21
"('1_S', 'N_L', 'N_WA', 'N_P')",0.28
"('high_SL', '0_S', 'N_P')",0.22
"('high_SL', 'intensive_H', 'N_L', 'N_P')",0.21
"('high_SL', 'intensive_H', 'N_WA', 'N_P')",0.23
"('high_SL', 'standard_H')",0.2
"('0_S', 'intensive_H', 'N_WA', 'N_P')",0.2
"('0_S', 'standard_H', 'N_WA', 'N_P')",0.21
"('0_S', 'N_L', 'N_WA', 'N_P')",0.28
"('intensive_H', 'N_L', 'N_WA', 'N_P')",0.3
"('standard_H', 'N_L', 'N_WA', 'N_P')",0.31
