ITEMSET,SUPPORT
"('3_T', 'N_L')",0.32
"('3_T', 'N_L', 'N_P')",0.32
"('3_T', 'N_WA')",0.37
"('3_T', 'N_WA', 'N_P')",0.36
"('3_T', 'N_P')",0.42
"('1_S', 'N_L')",0.34
"('1_S', 'N_L', 'N_P')",0.33
"('1_S', 'N_WA')",0.37
"('1_S', 'N_WA', 'N_P')",0.36
"('1_S', 'N_P')",0.42
"('0_S', 'N_L')",0.34
"('0_S', 'N_L', 'N_P')",0.34
"('0_S', 'N_WA')",0.42
"('0_S', 'N_WA', 'N_P')",0.42
"('0_S', 'N_P')",0.48
"('N_L', 'N_WA')",0.63
"('N_L', 'N_WA', 'N_P')",0.61
"('N_L', 'N_P')",0.74
"('N_WA', 'N_P')",0.84
