,Supp,Conf,Lift,Antecedent,Consequent,N_items_Ant,Supp_norm
607,0.05,0.98,4.1,"{'Salary': '0', 'Satisfaction_Level': 'medium', 'Last_Evaluation': 'insufficient', 'Number_Projects': '2', 'Promotion_Last_5_Years': 'N', 'Time_Spend_Company': '3', 'Average_Montly_Hours': 'standard'}",{'Left': 'Y'},7,0.00714285714286
614,0.05,0.98,4.1,"{'Salary': '0', 'Satisfaction_Level': 'medium', 'Last_Evaluation': 'insufficient', 'Number_Projects': '2', 'Time_Spend_Company': '3', 'Average_Montly_Hours': 'standard'}",{'Left': 'Y'},6,0.00833333333333
636,0.05,0.97,4.09,"{'Salary': '0', 'Satisfaction_Level': 'medium', 'Last_Evaluation': 'insufficient', 'Number_Projects': '2', 'Time_Spend_Company': '3', 'Promotion_Last_5_Years': 'N'}",{'Left': 'Y'},6,0.00833333333333
664,0.09,0.96,4.05,"{'Satisfaction_Level': 'medium', 'Last_Evaluation': 'insufficient', 'Number_Projects': '2', 'Promotion_Last_5_Years': 'N', 'Time_Spend_Company': '3', 'Average_Montly_Hours': 'standard'}",{'Left': 'Y'},6,0.015
812,0.05,0.96,4.04,"{'Salary': '0', 'Last_Evaluation': 'insufficient', 'Number_Projects': '2', 'Promotion_Last_5_Years': 'N', 'Time_Spend_Company': '3', 'Average_Montly_Hours': 'standard'}",{'Left': 'Y'},6,0.00833333333333
716,0.05,0.95,4.01,"{'Salary': '0', 'Satisfaction_Level': 'medium', 'Last_Evaluation': 'insufficient', 'Number_Projects': '2', 'Promotion_Last_5_Years': 'N', 'Average_Montly_Hours': 'standard'}",{'Left': 'Y'},6,0.00833333333333
988,0.06,0.94,3.96,"{'Salary': '0', 'Satisfaction_Level': 'medium', 'Number_Projects': '2', 'Promotion_Last_5_Years': 'N', 'Time_Spend_Company': '3', 'Average_Montly_Hours': 'standard'}",{'Left': 'Y'},6,0.01
2423,0.05,0.93,3.92,"{'Salary': '0', 'Satisfaction_Level': 'medium', 'Last_Evaluation': 'insufficient', 'Promotion_Last_5_Years': 'N', 'Time_Spend_Company': '3', 'Average_Montly_Hours': 'standard'}",{'Left': 'Y'},6,0.00833333333333
642,0.05,0.97,4.09,"{'Salary': '0', 'Satisfaction_Level': 'medium', 'Last_Evaluation': 'insufficient', 'Time_Spend_Company': '3', 'Number_Projects': '2'}",{'Left': 'Y'},5,0.01
670,0.09,0.96,4.04,"{'Satisfaction_Level': 'medium', 'Last_Evaluation': 'insufficient', 'Average_Montly_Hours': 'standard', 'Time_Spend_Company': '3', 'Number_Projects': '2'}",{'Left': 'Y'},5,0.018
689,0.09,0.96,4.02,"{'Satisfaction_Level': 'medium', 'Last_Evaluation': 'insufficient', 'Promotion_Last_5_Years': 'N', 'Time_Spend_Company': '3', 'Number_Projects': '2'}",{'Left': 'Y'},5,0.018
818,0.05,0.96,4.04,"{'Salary': '0', 'Last_Evaluation': 'insufficient', 'Average_Montly_Hours': 'standard', 'Time_Spend_Company': '3', 'Number_Projects': '2'}",{'Left': 'Y'},5,0.01
861,0.09,0.95,3.99,"{'Promotion_Last_5_Years': 'N', 'Last_Evaluation': 'insufficient', 'Average_Montly_Hours': 'standard', 'Time_Spend_Company': '3', 'Number_Projects': '2'}",{'Left': 'Y'},5,0.018
722,0.05,0.95,4.01,"{'Salary': '0', 'Satisfaction_Level': 'medium', 'Last_Evaluation': 'insufficient', 'Average_Montly_Hours': 'standard', 'Number_Projects': '2'}",{'Left': 'Y'},5,0.01
837,0.05,0.95,4.0,"{'Salary': '0', 'Last_Evaluation': 'insufficient', 'Promotion_Last_5_Years': 'N', 'Time_Spend_Company': '3', 'Number_Projects': '2'}",{'Left': 'Y'},5,0.01
994,0.06,0.94,3.96,"{'Salary': '0', 'Satisfaction_Level': 'medium', 'Average_Montly_Hours': 'standard', 'Time_Spend_Company': '3', 'Number_Projects': '2'}",{'Left': 'Y'},5,0.012
741,0.05,0.94,3.96,"{'Salary': '0', 'Satisfaction_Level': 'medium', 'Last_Evaluation': 'insufficient', 'Promotion_Last_5_Years': 'N', 'Number_Projects': '2'}",{'Left': 'Y'},5,0.01
765,0.09,0.93,3.91,"{'Satisfaction_Level': 'medium', 'Last_Evaluation': 'insufficient', 'Average_Montly_Hours': 'standard', 'Promotion_Last_5_Years': 'N', 'Number_Projects': '2'}",{'Left': 'Y'},5,0.018
2429,0.05,0.93,3.92,"{'Salary': '0', 'Satisfaction_Level': 'medium', 'Last_Evaluation': 'insufficient', 'Time_Spend_Company': '3', 'Average_Montly_Hours': 'standard'}",{'Left': 'Y'},5,0.01
905,0.05,0.93,3.89,"{'Salary': '0', 'Last_Evaluation': 'insufficient', 'Average_Montly_Hours': 'standard', 'Promotion_Last_5_Years': 'N', 'Number_Projects': '2'}",{'Left': 'Y'},5,0.01
1037,0.1,0.92,3.88,"{'Promotion_Last_5_Years': 'N', 'Satisfaction_Level': 'medium', 'Average_Montly_Hours': 'standard', 'Time_Spend_Company': '3', 'Number_Projects': '2'}",{'Left': 'Y'},5,0.02
1013,0.06,0.92,3.88,"{'Salary': '0', 'Satisfaction_Level': 'medium', 'Promotion_Last_5_Years': 'N', 'Time_Spend_Company': '3', 'Number_Projects': '2'}",{'Left': 'Y'},5,0.012
2448,0.05,0.92,3.86,"{'Salary': '0', 'Satisfaction_Level': 'medium', 'Last_Evaluation': 'insufficient', 'Time_Spend_Company': '3', 'Promotion_Last_5_Years': 'N'}",{'Left': 'Y'},5,0.01
2472,0.09,0.9,3.77,"{'Satisfaction_Level': 'medium', 'Last_Evaluation': 'insufficient', 'Promotion_Last_5_Years': 'N', 'Time_Spend_Company': '3', 'Average_Montly_Hours': 'standard'}",{'Left': 'Y'},5,0.018
1161,0.06,0.9,3.8,"{'Salary': '0', 'Promotion_Last_5_Years': 'N', 'Average_Montly_Hours': 'standard', 'Time_Spend_Company': '3', 'Number_Projects': '2'}",{'Left': 'Y'},5,0.012
1081,0.06,0.88,3.7,"{'Salary': '0', 'Satisfaction_Level': 'medium', 'Average_Montly_Hours': 'standard', 'Promotion_Last_5_Years': 'N', 'Number_Projects': '2'}",{'Left': 'Y'},5,0.012
2596,0.05,0.87,3.64,"{'Salary': '0', 'Last_Evaluation': 'insufficient', 'Promotion_Last_5_Years': 'N', 'Time_Spend_Company': '3', 'Average_Montly_Hours': 'standard'}",{'Left': 'Y'},5,0.01
2516,0.05,0.83,3.5,"{'Salary': '0', 'Satisfaction_Level': 'medium', 'Last_Evaluation': 'insufficient', 'Promotion_Last_5_Years': 'N', 'Average_Montly_Hours': 'standard'}",{'Left': 'Y'},5,0.01
