,Consequent,Antecedent,Supp,Conf,Lift
720,Y_L,"('2_NP', 'insufficient_LE', 'medium_SL', '3_T', 'low_S', 'standard_H', 'N_WA', 'N_P')",0.05,0.977,4.102
728,Y_L,"('2_NP', 'insufficient_LE', 'medium_SL', '3_T', 'low_S', 'standard_H', 'N_WA')",0.051,0.977,4.103
736,Y_L,"('2_NP', 'insufficient_LE', 'medium_SL', '3_T', 'low_S', 'standard_H', 'N_P')",0.053,0.975,4.097
743,Y_L,"('2_NP', 'insufficient_LE', 'medium_SL', '3_T', 'low_S', 'standard_H')",0.053,0.975,4.097
751,Y_L,"('2_NP', 'insufficient_LE', 'medium_SL', '3_T', 'low_S', 'N_WA', 'N_P')",0.05,0.975,4.097
758,Y_L,"('2_NP', 'insufficient_LE', 'medium_SL', '3_T', 'low_S', 'N_WA')",0.051,0.976,4.098
765,Y_L,"('2_NP', 'insufficient_LE', 'medium_SL', '3_T', 'low_S', 'N_P')",0.053,0.973,4.087
771,Y_L,"('2_NP', 'insufficient_LE', 'medium_SL', '3_T', 'low_S')",0.053,0.973,4.087
779,Y_L,"('2_NP', 'insufficient_LE', 'medium_SL', '3_T', 'standard_H', 'N_WA', 'N_P')",0.082,0.966,4.058
786,Y_L,"('2_NP', 'insufficient_LE', 'medium_SL', '3_T', 'standard_H', 'N_WA')",0.082,0.965,4.052
793,Y_L,"('2_NP', 'insufficient_LE', 'medium_SL', '3_T', 'standard_H', 'N_P')",0.086,0.963,4.046
799,Y_L,"('2_NP', 'insufficient_LE', 'medium_SL', '3_T', 'standard_H')",0.086,0.962,4.041
806,Y_L,"('2_NP', 'insufficient_LE', 'medium_SL', '3_T', 'N_WA', 'N_P')",0.082,0.965,4.052
812,Y_L,"('2_NP', 'insufficient_LE', 'medium_SL', '3_T', 'N_WA')",0.082,0.963,4.046
818,Y_L,"('2_NP', 'insufficient_LE', 'medium_SL', '3_T', 'N_P')",0.086,0.958,4.025
823,Y_L,"('2_NP', 'insufficient_LE', 'medium_SL', '3_T')",0.086,0.957,4.02
831,Y_L,"('2_NP', 'insufficient_LE', 'medium_SL', 'low_S', 'standard_H', 'N_WA', 'N_P')",0.051,0.957,4.02
838,Y_L,"('2_NP', 'insufficient_LE', 'medium_SL', 'low_S', 'standard_H', 'N_WA')",0.051,0.957,4.021
845,Y_L,"('2_NP', 'insufficient_LE', 'medium_SL', 'low_S', 'standard_H', 'N_P')",0.053,0.954,4.008
851,Y_L,"('2_NP', 'insufficient_LE', 'medium_SL', 'low_S', 'standard_H')",0.053,0.954,4.009
858,Y_L,"('2_NP', 'insufficient_LE', 'medium_SL', 'low_S', 'N_WA', 'N_P')",0.051,0.948,3.98
864,Y_L,"('2_NP', 'insufficient_LE', 'medium_SL', 'low_S', 'N_WA')",0.051,0.948,3.981
870,Y_L,"('2_NP', 'insufficient_LE', 'medium_SL', 'low_S', 'N_P')",0.053,0.942,3.957
875,Y_L,"('2_NP', 'insufficient_LE', 'medium_SL', 'low_S')",0.053,0.942,3.958
882,Y_L,"('2_NP', 'insufficient_LE', 'medium_SL', 'standard_H', 'N_WA', 'N_P')",0.082,0.935,3.929
888,Y_L,"('2_NP', 'insufficient_LE', 'medium_SL', 'standard_H', 'N_WA')",0.082,0.934,3.921
894,Y_L,"('2_NP', 'insufficient_LE', 'medium_SL', 'standard_H', 'N_P')",0.086,0.932,3.915
899,Y_L,"('2_NP', 'insufficient_LE', 'medium_SL', 'standard_H')",0.086,0.929,3.902
905,Y_L,"('2_NP', 'insufficient_LE', 'medium_SL', 'N_WA', 'N_P')",0.082,0.925,3.885
910,Y_L,"('2_NP', 'insufficient_LE', 'medium_SL', 'N_WA')",0.083,0.923,3.878
915,Y_L,"('2_NP', 'insufficient_LE', 'medium_SL', 'N_P')",0.086,0.918,3.854
919,Y_L,"('2_NP', 'insufficient_LE', 'medium_SL')",0.087,0.915,3.842
927,Y_L,"('2_NP', 'insufficient_LE', '3_T', 'low_S', 'standard_H', 'N_WA', 'N_P')",0.05,0.964,4.05
934,Y_L,"('2_NP', 'insufficient_LE', '3_T', 'low_S', 'standard_H', 'N_WA')",0.051,0.964,4.051
941,Y_L,"('2_NP', 'insufficient_LE', '3_T', 'low_S', 'standard_H', 'N_P')",0.053,0.961,4.037
947,Y_L,"('2_NP', 'insufficient_LE', '3_T', 'low_S', 'standard_H')",0.053,0.961,4.038
954,Y_L,"('2_NP', 'insufficient_LE', '3_T', 'low_S', 'N_WA', 'N_P')",0.05,0.957,4.019
960,Y_L,"('2_NP', 'insufficient_LE', '3_T', 'low_S', 'N_WA')",0.051,0.957,4.02
966,Y_L,"('2_NP', 'insufficient_LE', '3_T', 'low_S', 'N_P')",0.053,0.952,3.999
971,Y_L,"('2_NP', 'insufficient_LE', '3_T', 'low_S')",0.053,0.952,3.999
