\begin{tabular}{llrrr}
\toprule
Consequent &                                         Antecedent &  Supp &  Conf &  Lift \\
\midrule
    low\_SL &           ('4\_T', 'Y\_L', 'insufficient\_LE', 'N\_P') &  0.05 &  0.98 &  7.17 \\
    low\_SL &                  ('4\_T', 'Y\_L', 'insufficient\_LE') &  0.05 &  0.98 &  7.17 \\
    low\_SL &   ('4\_T', 'Y\_L', 'insufficient\_LE', 'N\_WA', 'N\_P') &  0.05 &  0.98 &  7.16 \\
    low\_SL &          ('4\_T', 'Y\_L', 'insufficient\_LE', 'N\_WA') &  0.05 &  0.98 &  7.16 \\
    low\_SL &          ('4\_T', 'insufficient\_LE', 'intensive\_H') &  0.05 &  0.97 &  7.11 \\
    low\_SL &   ('4\_T', 'insufficient\_LE', 'intensive\_H', 'N\_P') &  0.05 &  0.97 &  7.10 \\
    low\_SL &   ('Y\_L', 'insufficient\_LE', 'intensive\_H', 'N\_P') &  0.05 &  0.97 &  7.10 \\
    low\_SL &          ('Y\_L', 'insufficient\_LE', 'intensive\_H') &  0.05 &  0.97 &  7.10 \\
      2\_NP &  ('Y\_L', 'insufficient\_LE', 'medium\_SL', '3\_T',... &  0.09 &  1.00 &  6.28 \\
      2\_NP &  ('Y\_L', 'insufficient\_LE', 'medium\_SL', '3\_T',... &  0.09 &  1.00 &  6.28 \\
      2\_NP &  ('Y\_L', 'insufficient\_LE', 'medium\_SL', '3\_T',... &  0.08 &  1.00 &  6.28 \\
      2\_NP &  ('Y\_L', 'insufficient\_LE', 'medium\_SL', '3\_T',... &  0.08 &  1.00 &  6.28 \\
      2\_NP &  ('Y\_L', 'insufficient\_LE', 'medium\_SL', '3\_T',... &  0.05 &  1.00 &  6.27 \\
      2\_NP &  ('Y\_L', 'insufficient\_LE', 'medium\_SL', '3\_T',... &  0.05 &  1.00 &  6.27 \\
      2\_NP &  ('Y\_L', 'insufficient\_LE', 'medium\_SL', '3\_T',... &  0.05 &  1.00 &  6.27 \\
      2\_NP &  ('Y\_L', 'insufficient\_LE', 'medium\_SL', '3\_T',... &  0.05 &  1.00 &  6.27 \\
      2\_NP &   ('Y\_L', 'medium\_SL', '3\_T', 'standard\_H', 'N\_P') &  0.10 &  1.00 &  6.26 \\
      2\_NP &          ('Y\_L', 'medium\_SL', '3\_T', 'standard\_H') &  0.10 &  1.00 &  6.26 \\
      2\_NP &  ('Y\_L', 'medium\_SL', '3\_T', 'standard\_H', 'N\_W... &  0.10 &  1.00 &  6.25 \\
      2\_NP &  ('Y\_L', 'medium\_SL', '3\_T', 'standard\_H', 'N\_WA') &  0.10 &  1.00 &  6.25 \\
      2\_NP &  ('Y\_L', 'insufficient\_LE', 'medium\_SL', '3\_T',... &  0.09 &  0.99 &  6.25 \\
      2\_NP &     ('Y\_L', 'insufficient\_LE', 'medium\_SL', '3\_T') &  0.09 &  0.99 &  6.25 \\
      2\_NP &  ('Y\_L', 'insufficient\_LE', 'medium\_SL', '3\_T',... &  0.08 &  0.99 &  6.25 \\
      2\_NP &  ('Y\_L', 'insufficient\_LE', 'medium\_SL', '3\_T',... &  0.08 &  0.99 &  6.25 \\
      2\_NP &  ('Y\_L', 'medium\_SL', '3\_T', '0\_S', 'standard\_H... &  0.06 &  1.00 &  6.25 \\
      2\_NP &  ('Y\_L', 'medium\_SL', '3\_T', '0\_S', 'standard\_H... &  0.06 &  1.00 &  6.25 \\
      2\_NP &  ('Y\_L', 'medium\_SL', '3\_T', '0\_S', 'standard\_H... &  0.06 &  1.00 &  6.25 \\
      2\_NP &   ('Y\_L', 'medium\_SL', '3\_T', '0\_S', 'standard\_H') &  0.06 &  1.00 &  6.25 \\
      2\_NP &  ('Y\_L', 'insufficient\_LE', 'medium\_SL', '3\_T',... &  0.05 &  0.99 &  6.25 \\
      2\_NP &  ('Y\_L', 'insufficient\_LE', 'medium\_SL', '3\_T',... &  0.05 &  0.99 &  6.25 \\
