,Consequent,Antecedent,Supp,Conf,Lift
720,Y_L,"('2_NP', 'insufficient_LE', 'medium_SL', '3_T', 'low_S', 'standard_H', 'N_WA', 'N_P')",0.05,0.98,4.1
728,Y_L,"('2_NP', 'insufficient_LE', 'medium_SL', '3_T', 'low_S', 'standard_H', 'N_WA')",0.05,0.98,4.1
736,Y_L,"('2_NP', 'insufficient_LE', 'medium_SL', '3_T', 'low_S', 'standard_H', 'N_P')",0.05,0.98,4.1
743,Y_L,"('2_NP', 'insufficient_LE', 'medium_SL', '3_T', 'low_S', 'standard_H')",0.05,0.98,4.1
751,Y_L,"('2_NP', 'insufficient_LE', 'medium_SL', '3_T', 'low_S', 'N_WA', 'N_P')",0.05,0.98,4.1
758,Y_L,"('2_NP', 'insufficient_LE', 'medium_SL', '3_T', 'low_S', 'N_WA')",0.05,0.98,4.1
765,Y_L,"('2_NP', 'insufficient_LE', 'medium_SL', '3_T', 'low_S', 'N_P')",0.05,0.97,4.09
771,Y_L,"('2_NP', 'insufficient_LE', 'medium_SL', '3_T', 'low_S')",0.05,0.97,4.09
779,Y_L,"('2_NP', 'insufficient_LE', 'medium_SL', '3_T', 'standard_H', 'N_WA', 'N_P')",0.08,0.97,4.06
786,Y_L,"('2_NP', 'insufficient_LE', 'medium_SL', '3_T', 'standard_H', 'N_WA')",0.08,0.96,4.05
793,Y_L,"('2_NP', 'insufficient_LE', 'medium_SL', '3_T', 'standard_H', 'N_P')",0.09,0.96,4.05
799,Y_L,"('2_NP', 'insufficient_LE', 'medium_SL', '3_T', 'standard_H')",0.09,0.96,4.04
806,Y_L,"('2_NP', 'insufficient_LE', 'medium_SL', '3_T', 'N_WA', 'N_P')",0.08,0.96,4.05
812,Y_L,"('2_NP', 'insufficient_LE', 'medium_SL', '3_T', 'N_WA')",0.08,0.96,4.05
818,Y_L,"('2_NP', 'insufficient_LE', 'medium_SL', '3_T', 'N_P')",0.09,0.96,4.02
823,Y_L,"('2_NP', 'insufficient_LE', 'medium_SL', '3_T')",0.09,0.96,4.02
831,Y_L,"('2_NP', 'insufficient_LE', 'medium_SL', 'low_S', 'standard_H', 'N_WA', 'N_P')",0.05,0.96,4.02
838,Y_L,"('2_NP', 'insufficient_LE', 'medium_SL', 'low_S', 'standard_H', 'N_WA')",0.05,0.96,4.02
845,Y_L,"('2_NP', 'insufficient_LE', 'medium_SL', 'low_S', 'standard_H', 'N_P')",0.05,0.95,4.01
851,Y_L,"('2_NP', 'insufficient_LE', 'medium_SL', 'low_S', 'standard_H')",0.05,0.95,4.01
858,Y_L,"('2_NP', 'insufficient_LE', 'medium_SL', 'low_S', 'N_WA', 'N_P')",0.05,0.95,3.98
864,Y_L,"('2_NP', 'insufficient_LE', 'medium_SL', 'low_S', 'N_WA')",0.05,0.95,3.98
870,Y_L,"('2_NP', 'insufficient_LE', 'medium_SL', 'low_S', 'N_P')",0.05,0.94,3.96
875,Y_L,"('2_NP', 'insufficient_LE', 'medium_SL', 'low_S')",0.05,0.94,3.96
882,Y_L,"('2_NP', 'insufficient_LE', 'medium_SL', 'standard_H', 'N_WA', 'N_P')",0.08,0.94,3.93
888,Y_L,"('2_NP', 'insufficient_LE', 'medium_SL', 'standard_H', 'N_WA')",0.08,0.93,3.92
894,Y_L,"('2_NP', 'insufficient_LE', 'medium_SL', 'standard_H', 'N_P')",0.09,0.93,3.91
899,Y_L,"('2_NP', 'insufficient_LE', 'medium_SL', 'standard_H')",0.09,0.93,3.9
905,Y_L,"('2_NP', 'insufficient_LE', 'medium_SL', 'N_WA', 'N_P')",0.08,0.92,3.89
910,Y_L,"('2_NP', 'insufficient_LE', 'medium_SL', 'N_WA')",0.08,0.92,3.88
915,Y_L,"('2_NP', 'insufficient_LE', 'medium_SL', 'N_P')",0.09,0.92,3.85
919,Y_L,"('2_NP', 'insufficient_LE', 'medium_SL')",0.09,0.91,3.84
927,Y_L,"('2_NP', 'insufficient_LE', '3_T', 'low_S', 'standard_H', 'N_WA', 'N_P')",0.05,0.96,4.05
934,Y_L,"('2_NP', 'insufficient_LE', '3_T', 'low_S', 'standard_H', 'N_WA')",0.05,0.96,4.05
941,Y_L,"('2_NP', 'insufficient_LE', '3_T', 'low_S', 'standard_H', 'N_P')",0.05,0.96,4.04
947,Y_L,"('2_NP', 'insufficient_LE', '3_T', 'low_S', 'standard_H')",0.05,0.96,4.04
954,Y_L,"('2_NP', 'insufficient_LE', '3_T', 'low_S', 'N_WA', 'N_P')",0.05,0.96,4.02
960,Y_L,"('2_NP', 'insufficient_LE', '3_T', 'low_S', 'N_WA')",0.05,0.96,4.02
966,Y_L,"('2_NP', 'insufficient_LE', '3_T', 'low_S', 'N_P')",0.05,0.95,4.0
971,Y_L,"('2_NP', 'insufficient_LE', '3_T', 'low_S')",0.05,0.95,4.0
978,Y_L,"('2_NP', 'insufficient_LE', '3_T', 'standard_H', 'N_WA', 'N_P')",0.08,0.95,4.0
984,Y_L,"('2_NP', 'insufficient_LE', '3_T', 'standard_H', 'N_WA')",0.08,0.95,4.0
990,Y_L,"('2_NP', 'insufficient_LE', '3_T', 'standard_H', 'N_P')",0.09,0.95,3.99
995,Y_L,"('2_NP', 'insufficient_LE', '3_T', 'standard_H')",0.09,0.95,3.98
1001,Y_L,"('2_NP', 'insufficient_LE', '3_T', 'N_WA', 'N_P')",0.08,0.95,3.97
1006,Y_L,"('2_NP', 'insufficient_LE', '3_T', 'N_WA')",0.08,0.94,3.97
1011,Y_L,"('2_NP', 'insufficient_LE', '3_T', 'N_P')",0.09,0.94,3.94
1015,Y_L,"('2_NP', 'insufficient_LE', '3_T')",0.09,0.94,3.94
1022,Y_L,"('2_NP', 'insufficient_LE', 'low_S', 'standard_H', 'N_WA', 'N_P')",0.05,0.93,3.93
1028,Y_L,"('2_NP', 'insufficient_LE', 'low_S', 'standard_H', 'N_WA')",0.05,0.94,3.93
1034,Y_L,"('2_NP', 'insufficient_LE', 'low_S', 'standard_H', 'N_P')",0.05,0.93,3.89
1039,Y_L,"('2_NP', 'insufficient_LE', 'low_S', 'standard_H')",0.05,0.93,3.89
1045,Y_L,"('2_NP', 'insufficient_LE', 'low_S', 'N_WA', 'N_P')",0.05,0.92,3.84
1050,Y_L,"('2_NP', 'insufficient_LE', 'low_S', 'N_WA')",0.05,0.92,3.84
1055,Y_L,"('2_NP', 'insufficient_LE', 'low_S', 'N_P')",0.05,0.9,3.78
1059,Y_L,"('2_NP', 'insufficient_LE', 'low_S')",0.05,0.9,3.78
1065,Y_L,"('2_NP', 'insufficient_LE', 'standard_H', 'N_WA', 'N_P')",0.08,0.91,3.81
1070,Y_L,"('2_NP', 'insufficient_LE', 'standard_H', 'N_WA')",0.08,0.91,3.8
1075,Y_L,"('2_NP', 'insufficient_LE', 'standard_H', 'N_P')",0.09,0.9,3.78
1079,Y_L,"('2_NP', 'insufficient_LE', 'standard_H')",0.09,0.9,3.77
1103,Y_L,"('2_NP', 'medium_SL', '3_T', 'low_S', 'standard_H', 'N_WA', 'N_P')",0.06,0.95,3.97
1110,Y_L,"('2_NP', 'medium_SL', '3_T', 'low_S', 'standard_H', 'N_WA')",0.06,0.95,3.98
1117,Y_L,"('2_NP', 'medium_SL', '3_T', 'low_S', 'standard_H', 'N_P')",0.06,0.94,3.96
