Consequent,Antecedent,Supp,Conf,Lift
N_WA,"('7_D', 'N_P')",0.04,0.87,1.02
N_WA,"('7_D',)",0.04,0.87,1.02
N_P,"('7_D',)",0.05,0.98,1.0
N_L,"('6_D', 'N_P')",0.04,0.84,1.1
N_L,"('6_D',)",0.04,0.85,1.11
N_WA,"('6_D', 'N_P')",0.04,0.83,0.97
N_WA,"('6_D',)",0.04,0.83,0.97
N_P,"('6_D',)",0.05,0.97,0.99
N_WA,"('2_LE', 'N_P')",0.05,0.89,1.04
N_WA,"('2_LE',)",0.05,0.89,1.04
N_P,"('2_LE',)",0.05,0.98,1.01
3_T,"('4_SL', 'N_WA', 'N_P')",0.04,0.82,1.91
3_T,"('4_SL', 'N_WA')",0.04,0.82,1.92
3_T,"('4_SL', 'N_P')",0.04,0.81,1.88
3_T,"('4_SL',)",0.04,0.81,1.88
N_P,"('4_SL', 'N_WA')",0.05,0.99,1.01
N_WA,"('4_SL', 'N_P')",0.05,0.94,1.1
N_WA,"('4_SL',)",0.05,0.94,1.1
N_P,"('4_SL',)",0.05,0.99,1.01
N_WA,"('5_D', 'N_P')",0.05,0.84,0.98
N_WA,"('5_D',)",0.05,0.84,0.98
N_P,"('5_D',)",0.05,0.95,0.97
N_WA,"('8_LE', 'N_L', 'N_P')",0.05,0.8,0.94
N_WA,"('8_LE', 'N_L')",0.05,0.81,0.94
N_P,"('8_LE', 'N_L')",0.06,0.97,0.99
N_L,"('8_LE', 'N_P')",0.06,0.97,1.28
N_L,"('8_LE',)",0.06,0.97,1.28
N_WA,"('8_LE', 'N_P')",0.05,0.81,0.94
N_WA,"('8_LE',)",0.05,0.81,0.95
N_P,"('8_LE',)",0.06,0.97,0.99
N_P,"('4_D', 'N_WA')",0.05,1.0,1.02
N_WA,"('4_D', 'N_P')",0.05,0.85,1.0
N_WA,"('4_D',)",0.05,0.85,1.0
N_P,"('4_D',)",0.06,1.0,1.02
N_WA,"('6_LE', 'N_L', 'N_P')",0.05,0.81,0.94
N_WA,"('6_LE', 'N_L')",0.05,0.81,0.94
N_P,"('6_LE', 'N_L')",0.06,0.97,0.99
N_L,"('6_LE', 'N_P')",0.06,0.97,1.27
